@relation average_ratings_extended

@attribute movieId numeric
@attribute rating numeric
@attribute 'Average Rating' numeric
@attribute genre {Action,Drama,Thriller,Horror,Comedy,Romance,Sci-Fi}
@attribute budget {'$40 million','$20 million','$10 million','$30 million','$50 million'}
@attribute language {French,English,German,Spanish,Japanese}
@attribute Director {'Martin Scorsese','James Cameron','Quentin Tarantino','Christopher Nolan','Steven Spielberg'}

@data
1,3.87247,4,Action,'$40 million',French,'Martin Scorsese'
2,3.401869,3.5,Drama,'$20 million',English,'Martin Scorsese'
3,3.161017,3,Action,'$20 million',French,'James Cameron'
4,2.384615,2.5,Thriller,'$10 million',German,'Quentin Tarantino'
5,3.267857,3.5,Action,'$30 million',English,'James Cameron'
6,3.884615,4,Horror,'$20 million',French,'James Cameron'
7,3.283019,3.5,Horror,'$10 million',French,'James Cameron'
8,3.8,4,Action,'$30 million',French,'Christopher Nolan'
9,3.15,3,Drama,'$30 million',English,'Christopher Nolan'
10,3.45082,3.5,Comedy,'$10 million',French,'Quentin Tarantino'
11,3.689024,4,Romance,'$30 million',German,'Christopher Nolan'
12,2.861111,3,Horror,'$40 million',French,'Christopher Nolan'
13,3.9375,4,Action,'$20 million',French,'James Cameron'
14,3.451613,3.5,Sci-Fi,'$30 million',English,'Quentin Tarantino'
15,2.318182,2.5,Romance,'$10 million',English,'Quentin Tarantino'
16,3.948864,4,Sci-Fi,'$30 million',German,'Steven Spielberg'
17,3.924419,4,Comedy,'$40 million',English,'Steven Spielberg'
18,3.288462,3.5,Romance,'$30 million',Spanish,'Quentin Tarantino'
19,2.597826,2.5,Drama,'$20 million',German,'Christopher Nolan'
20,2.538462,2.5,Drama,'$40 million',Spanish,'James Cameron'
21,3.536842,3.5,Sci-Fi,'$10 million',English,'Steven Spielberg'
22,3.355263,3.5,Romance,'$50 million',Spanish,'Christopher Nolan'
23,3.090909,3,Comedy,'$10 million',English,'James Cameron'
24,3.044118,3,Comedy,'$50 million',Japanese,'Steven Spielberg'
25,3.742574,4,Horror,'$40 million',French,'Christopher Nolan'
26,4.1,4,Sci-Fi,'$30 million',Spanish,'Christopher Nolan'
27,3.142857,3,Drama,'$30 million',Spanish,'Christopher Nolan'
28,4.083333,4,Comedy,'$20 million',English,'Martin Scorsese'
29,4.025,4,Horror,'$20 million',French,'Steven Spielberg'
30,4.05,4,Romance,'$10 million',English,'Christopher Nolan'
31,3.178571,3,Thriller,'$20 million',Spanish,'James Cameron'
32,3.923469,4,Thriller,'$50 million',English,'Quentin Tarantino'
34,3.601351,3.5,Horror,'$20 million',German,'Martin Scorsese'
35,3.545455,3.5,Sci-Fi,'$30 million',French,'Quentin Tarantino'
36,3.9375,4,Horror,'$50 million',German,'James Cameron'
37,2,2,Comedy,'$50 million',English,'Steven Spielberg'
38,2,2,Romance,'$10 million',German,'Quentin Tarantino'
39,3.55,3.5,Comedy,'$10 million',Japanese,'Quentin Tarantino'
40,3.916667,4,Drama,'$30 million',Spanish,'Christopher Nolan'
41,4.021739,4,Drama,'$40 million',French,'Steven Spielberg'
42,2.333333,2.5,Comedy,'$30 million',Spanish,'Martin Scorsese'
43,3.625,3.5,Action,'$10 million',French,'Quentin Tarantino'
44,2.697368,2.5,Thriller,'$10 million',Spanish,'Martin Scorsese'
45,3.523256,3.5,Thriller,'$10 million',German,'Christopher Nolan'
46,3.166667,3,Comedy,'$20 million',Japanese,'Quentin Tarantino'
47,4.034826,4,Comedy,'$10 million',Japanese,'Steven Spielberg'
48,2.92623,3,Drama,'$50 million',Japanese,'Steven Spielberg'
49,4,4,Horror,'$10 million',German,'Martin Scorsese'
50,4.370647,4.5,Romance,'$30 million',Spanish,'Christopher Nolan'
52,3.637255,3.5,Comedy,'$20 million',German,'Christopher Nolan'
53,5,5,Drama,'$30 million',Japanese,'Steven Spielberg'
54,3.666667,4,Romance,'$30 million',Spanish,'Steven Spielberg'
55,3.333333,3.5,Action,'$40 million',Japanese,'Christopher Nolan'
57,3.142857,3,Horror,'$20 million',Spanish,'Steven Spielberg'
58,4,4,Comedy,'$40 million',Spanish,'Christopher Nolan'
59,4,4,Action,'$50 million',Spanish,'Quentin Tarantino'
60,2.828125,3,Comedy,'$10 million',Spanish,'Christopher Nolan'
61,3.571429,3.5,Comedy,'$10 million',Spanish,'James Cameron'
62,3.689655,4,Horror,'$30 million',Japanese,'Quentin Tarantino'
63,2.833333,3,Sci-Fi,'$20 million',Spanish,'Christopher Nolan'
64,2.4,2.5,Sci-Fi,'$40 million',German,'Christopher Nolan'
65,2.025,2,Action,'$10 million',Japanese,'Martin Scorsese'
66,2,2,Drama,'$30 million',French,'James Cameron'
68,3.5,3.5,Sci-Fi,'$30 million',English,'Martin Scorsese'
69,3.818182,4,Horror,'$40 million',Spanish,'Steven Spielberg'
70,3.020833,3,Action,'$40 million',English,'Steven Spielberg'
71,2.428571,2.5,Comedy,'$30 million',English,'Steven Spielberg'
72,3.166667,3,Comedy,'$20 million',German,'Christopher Nolan'
73,4.115385,4.5,Drama,'$40 million',Spanish,'Quentin Tarantino'
74,3.026316,3,Action,'$50 million',English,'Quentin Tarantino'
76,3.333333,3.5,Thriller,'$30 million',English,'Martin Scorsese'
77,4,4,Horror,'$10 million',English,'Christopher Nolan'
78,3.2,3,Comedy,'$50 million',German,'Quentin Tarantino'
79,2.961538,3,Sci-Fi,'$40 million',Japanese,'Martin Scorsese'
