@relation average_ratings_original

@attribute movieId numeric
@attribute rating numeric
@attribute 'Average Rating' numeric

@data
1,3.87247,4
2,3.401869,3.5
3,3.161017,3
4,2.384615,2.5
5,3.267857,3.5
6,3.884615,4
7,3.283019,3.5
8,3.8,4
9,3.15,3
10,3.45082,3.5
11,3.689024,4
12,2.861111,3
13,3.9375,4
14,3.451613,3.5
15,2.318182,2.5
16,3.948864,4
17,3.924419,4
18,3.288462,3.5
19,2.597826,2.5
20,2.538462,2.5
21,3.536842,3.5
22,3.355263,3.5
23,3.090909,3
24,3.044118,3
25,3.742574,4
26,4.1,4
27,3.142857,3
28,4.083333,4
29,4.025,4
30,4.05,4
31,3.178571,3
32,3.923469,4
34,3.601351,3.5
35,3.545455,3.5
36,3.9375,4
37,2,2
38,2,2
39,3.55,3.5
40,3.916667,4
41,4.021739,4
42,2.333333,2.5
43,3.625,3.5
44,2.697368,2.5
45,3.523256,3.5
46,3.166667,3
47,4.034826,4
48,2.92623,3
49,4,4
50,4.370647,4.5
52,3.637255,3.5
53,5,5
54,3.666667,4
55,3.333333,3.5
57,3.142857,3
58,4,4
59,4,4
60,2.828125,3
61,3.571429,3.5
62,3.689655,4
63,2.833333,3
64,2.4,2.5
65,2.025,2
66,2,2
68,3.5,3.5
69,3.818182,4
70,3.020833,3
71,2.428571,2.5
72,3.166667,3
73,4.115385,4.5
74,3.026316,3
76,3.333333,3.5
77,4,4
78,3.2,3
79,2.961538,3
80,4.625,5
81,3.25,3.5
82,3.8,4
83,3,3
84,4,4
85,4.0625,4
86,3.764706,4
87,1.666667,1.5
88,2.891304,3
89,3.441176,3.5
92,3.541667,3.5
93,2.227273,2
94,3.568182,3.5
95,3.177419,3
96,1,1
97,3.875,4
98,3,3
99,2.75,2.5
100,3.428571,3.5
101,3.882353,4
102,2.590909,2.5
103,4,4
104,3.292553,3.5
105,3.114583,3
107,3.462963,3.5
108,4,4
110,3.945175,4
111,4.224576,4.5
112,3.295918,3.5
113,3.2,3
114,3,3
116,4.75,5
117,3,3
118,2.8,3
119,3,3
121,3.8,4
122,3.052632,3
123,4,4
124,3,3
125,3.714286,4
126,2.7,2.5
129,3,3
130,4.5,4.5
131,2,2
132,2.875,3
135,3,3
137,1,1
140,3.478261,3.5
141,3.580645,3.5
144,3.326923,3.5
145,3.27907,3.5
146,4.333333,4.5
147,3.642857,3.5
148,4,4
149,4.333333,4.5
150,3.9025,4
151,3.5625,3.5
152,3.833333,4
153,2.782946,3
154,3.8125,4
155,3.055556,3
156,3.954545,4
157,2.375,2.5
158,2.87069,3
159,3.9375,4
160,2.34127,2.5
161,3.83125,4
162,4.136364,4.5
163,3.515873,3.5
164,3.557692,3.5
165,3.443662,3.5
166,3,3
167,4,4
168,3.116279,3
169,2.5625,2.5
170,3.288462,3.5
171,4.333333,4.5
172,2.572917,2.5
173,2.564286,2.5
174,2.25,2
175,3.956522,4
176,3.777778,4
177,2.884615,3
178,4.7,5
179,3.5,3.5
180,3.306818,3.5
181,1.8,1.5
183,5,5
184,4.5,4.5
185,3.102941,3
186,2.875,3
187,2.833333,3
188,3.125,3
189,4,4
190,3.833333,4
191,3,3
193,2.314286,2.5
194,4.291667,4.5
195,3.214286,3.5
196,2.809091,3
198,3.44186,3.5
199,3.333333,3.5
200,4,4
201,4,4
202,3,3
203,3.304348,3.5
204,3,3
205,4,4
206,3.6,3.5
207,3.375,3.5
208,2.752212,3
209,2.6,2.5
211,3.333333,3.5
213,4.222222,4.5
214,3,3
215,3.722222,4
216,3.02381,3
217,2.714286,2.5
218,3.333333,3.5
219,4.25,4.5
220,3,3
222,3.931818,4
223,3.963303,4
224,3.6,3.5
225,3.173077,3
227,3.15625,3
228,2,2
229,4.083333,4
230,3.7,4
231,3.110759,3
232,4.208333,4.5
233,4.269231,4.5
234,2.75,2.5
235,3.903846,4
236,3.358333,3.5
237,3.191176,3
238,3,3
239,2.933333,3
240,3.4,3.5
241,3.5,3.5
242,3.75,4
243,4,4
244,3,3
245,3,3
246,4.040984,4
247,3.651163,4
248,3.153846,3
249,3.375,3.5
250,3.25,3.5
251,3,3
252,3.060976,3
253,3.396,3.5
254,3,3
255,2.2,2
256,2.702381,2.5
257,3.576923,3.5
258,2.5,2.5
259,3.7,4
260,4.221649,4.5
261,3.715686,4
262,3.85,4
263,3,3
264,4.5,4.5
265,3.879032,4
266,3.486301,3.5
267,2.730769,2.5
268,4.25,4.5
269,3.666667,4
270,3.222222,3.5
271,3.5,3.5
272,4,4
273,3.12963,3
274,2.666667,2.5
275,2.8,3
276,2.863636,3
277,3.357143,3.5
278,3,3
279,2.875,3
280,4.113636,4.5
281,3.861111,4
282,3.284091,3.5
283,3,3
285,4,4
287,3.2,3
288,3.336449,3.5
289,3.464286,3.5
290,3.9375,4
291,2,2
292,3.309091,3.5
293,4.07197,4
294,3.333333,3.5
295,3,3
296,4.256173,4.5
299,3.75,4
300,3.75,4
301,5,5
302,3.714286,4
303,3.1875,3
304,3.333333,3.5
305,2.75,2.5
306,4.171875,4.5
307,4.145161,4.5
308,4.159091,4.5
309,5,5
312,3.6,3.5
313,2.714286,2.5
314,3.941176,4
315,2.909091,3
316,3.368966,3.5
317,2.964286,3
318,4.487138,4.5
319,3.973684,4
320,2.75,2.5
321,3.642857,3.5
322,3.642857,3.5
324,3.333333,3.5
325,3,3
326,4.071429,4
327,2.75,2.5
328,3.625,3.5
329,3.350877,3.5
330,2.7,2.5
331,3,3
332,3.2,3
333,3.32,3.5
334,3.071429,3
335,3,3
336,3,3
337,3.795455,4
338,2.8,3
339,3.440594,3.5
340,3,3
341,4.5,4.5
342,3.4375,3.5
343,3,3
344,2.871429,3
345,3.75,4
346,3,3
347,3.857143,4
348,3.9375,4
349,3.786957,4
350,3.328571,3.5
351,3.192308,3
352,3.357143,3.5
353,3.589552,3.5
354,3.5,3.5
355,2.205128,2
356,4.054252,4
357,3.684426,4
358,2.428571,2.5
360,2.5,2.5
361,3.38,3.5
362,3.45,3.5
363,4.5,4.5
364,3.7775,4
365,3,3
366,3.272727,3.5
367,3.070064,3
368,3.535211,3.5
369,3.055556,3
370,3.052239,3
371,3.25,3.5
372,3.058824,3
373,4.138889,4.5
374,2.1,2
375,3.666667,4
376,3.425532,3.5
377,3.566667,3.5
378,3.25,3.5
379,3.261905,3.5
